period,PD1,D1,Total1,PD2,D2,Total2,PD3,D3,Total3,PD4,D4,Total4
3/1/1990,0.043478261,1,23,0,0,22,1,1,1,,0,0
6/1/1990,0.043478261,1,23,0,0,22,1,1,1,,0,0
9/1/1990,0.043478261,1,23,0,0,22,1,1,1,,0,0
12/1/1990,0,0,22,0,0,22,,0,0,,0,0
3/1/1991,0.074074074,2,27,0.076923077,2,26,0,0,1,,0,0
6/1/1991,0.0625,2,32,0.064516129,2,31,0,0,1,,0,0
9/1/1991,0.058823529,2,34,0.060606061,2,33,0,0,1,,0,0
12/1/1991,0.048780488,2,41,0,0,39,1,2,2,,0,0
3/1/1992,0,0,42,0,0,42,,0,0,,0,0
6/1/1992,0,0,52,0,0,52,,0,0,,0,0
9/1/1992,0,0,57,0,0,57,,0,0,,0,0
12/1/1992,0,0,68,0,0,68,,0,0,,0,0
3/1/1993,0,0,78,0,0,78,,0,0,,0,0
6/1/1993,0,0,101,0,0,101,,0,0,,0,0
9/1/1993,0,0,114,0,0,114,,0,0,,0,0
12/1/1993,0,0,132,0,0,132,,0,0,,0,0
3/1/1994,0,0,142,0,0,142,,0,0,,0,0
6/1/1994,0,0,149,0,0,149,,0,0,,0,0
9/1/1994,0,0,162,0,0,157,0,0,5,,0,0
12/1/1994,0,0,172,0,0,165,0,0,7,,0,0
3/1/1995,0,0,179,0,0,172,0,0,7,,0,0
6/1/1995,0.005319149,1,188,0.005586592,1,179,0,0,9,,0,0
9/1/1995,0.005181347,1,193,0.005434783,1,184,0,0,9,,0,0
12/1/1995,0.004672897,1,214,0.004878049,1,205,0,0,9,,0,0
3/1/1996,0.00462963,1,216,0,0,206,0.1,1,10,,0,0
6/1/1996,0,0,226,0,0,217,0,0,9,,0,0
9/1/1996,0.004273504,1,234,0,0,222,0.083333333,1,12,,0,0
12/1/1996,0.012048193,3,249,0,0,236,0.230769231,3,13,,0,0
3/1/1997,0.011152416,3,269,0,0,253,0.214285714,3,14,0,0,2
