period,PD1,D1,Total1,PD2,D2,Total2,PD3,D3,Total3
3/1/1990,0,0,88,0,0,88,,0,0
6/1/1990,0,0,90,0,0,90,,0,0
9/1/1990,0,0,97,0,0,97,,0,0
12/1/1990,0,0,106,0,0,106,,0,0
3/1/1991,0,0,113,0,0,113,,0,0
6/1/1991,0,0,127,0,0,127,,0,0
9/1/1991,0,0,138,0,0,138,,0,0
12/1/1991,0,0,149,0,0,149,,0,0
3/1/1992,0,0,160,0,0,160,,0,0
6/1/1992,0,0,175,0,0,175,,0,0
9/1/1992,0,0,192,0,0,192,,0,0
12/1/1992,0,0,195,0,0,195,,0,0
3/1/1993,0,0,199,0,0,199,,0,0
6/1/1993,0,0,209,0,0,207,0,0,2
9/1/1993,0,0,208,0,0,206,0,0,2
12/1/1993,0,0,221,0,0,219,0,0,2
3/1/1994,0,0,228,0,0,227,0,0,1
6/1/1994,0,0,233,0,0,232,0,0,1
9/1/1994,0,0,243,0,0,242,0,0,1
12/1/1994,0,0,247,0,0,246,0,0,1
3/1/1995,0,0,243,0,0,242,0,0,1
6/1/1995,0.003787879,1,264,0.003787879,1,264,,0,0
9/1/1995,0.003472222,1,288,0,0,287,1,1,1
12/1/1995,0,0,300,0,0,300,,0,0
3/1/1996,0,0,316,0,0,316,,0,0
6/1/1996,0,0,325,0,0,323,0,0,2
9/1/1996,0,0,343,0,0,341,0,0,2
12/1/1996,0,0,354,0,0,352,0,0,2
3/1/1997,0,0,369,0,0,369,,0,0
6/1/1997,0,0,377,0,0,377,,0,0
9/1/1997,0,0,405,0,0,405,,0,0
12/1/1997,0.002398082,1,417,0.002398082,,417,,0,0
3/1/1998,0.004672897,2,428,0.00477327,2,419,0,0,9
6/1/1998,0.004484305,2,446,0.004576659,2,437,0,0,9
9/1/1998,0.008714597,4,459,0.004484305,2,446,0.153846154,2,13
12/1/1998,0.006465517,3,464,0.002222222,1,450,0.142857143,2,14
3/1/1999,0.004282655,2,467,0.002197802,1,455,0.083333333,1,12
6/1/1999,0.004158004,2,481,0.00212766,1,470,0.090909091,1,11
9/1/1999,0,0,479,0,0,470,0,0,9
12/1/1999,0,0,479,0,0,472,0,0,7
3/1/2000,0.00209205,1,478,0.002123142,1,471,0,0,7
6/1/2000,0.002053388,1,487,0.002083333,1,480,0,0,7
9/1/2000,0.00203252,1,492,0.002061856,1,485,0,0,7
12/1/2000,0.00204918,1,488,0.002074689,1,482,0,0,6
3/1/2001,0,0,476,0,0,471,0,0,5
6/1/2001,0.004192872,2,477,0.004237288,2,472,0,0,5
