period,PD1,D1,Total1,PD2,D2,Total2,PD3,D3,Total3
3/1/1990,0.038674033,7,181,0.005952381,1,168,0.461538462,6,13
6/1/1990,0.032608696,6,184,0.005780347,1,173,0.454545455,5,11
9/1/1990,0.037234043,7,188,0.005617978,1,178,0.6,6,10
12/1/1990,0.047368421,9,190,0.011363636,2,176,0.5,7,14
3/1/1991,0.026455026,5,189,0.011235955,2,178,0.272727273,3,11
6/1/1991,0.022222222,4,180,0,0,170,0.4,4,10
9/1/1991,0.016759777,3,179,0,0,166,0.230769231,3,13
12/1/1991,0.011111111,2,180,0,0,169,0.181818182,2,11
3/1/1992,0.011235955,2,178,0,0,168,0.2,2,10
6/1/1992,0.016853933,3,178,0,0,169,0.333333333,3,9
9/1/1992,0.017045455,3,176,0,0,167,0.333333333,3,9
12/1/1992,0.010928962,2,183,0,0,178,0.4,2,5
3/1/1993,0.010471204,2,191,0,0,186,0.4,2,5
6/1/1993,0,0,184,0,0,178,0,0,6
9/1/1993,0,0,193,0,0,187,0,0,6
12/1/1993,0,0,201,0,0,196,0,0,5
3/1/1994,0,0,193,0,0,190,0,0,3
6/1/1994,0,0,193,0,0,190,0,0,3
9/1/1994,0,0,191,0,0,188,0,0,3
12/1/1994,0.005154639,1,194,0.005235602,1,191,0,0,3
3/1/1995,0.005076142,1,197,0,0,193,0.25,1,4
6/1/1995,0.005128205,1,195,0,0,189,0.166666667,1,6
9/1/1995,0.005181347,1,193,0,0,188,0.2,1,5
12/1/1995,0,0,191,0,0,187,0,0,4
3/1/1996,0,0,190,0,0,187,0,0,3
6/1/1996,0,0,192,0,0,190,0,0,2
9/1/1996,0.005376344,1,186,0,0,184,0.5,1,2
12/1/1996,0.005347594,1,187,0,0,185,0.5,1,2
3/1/1997,0.004975124,1,201,0,0,198,0.333333333,1,3
6/1/1997,0.009569378,2,209,0,0,204,0.4,2,5
9/1/1997,0.004672897,1,214,0.004739336,1,211,0,0,3
12/1/1997,0.004694836,1,213,0.004739336,1,211,0,0,2
3/1/1998,0.009174312,2,218,0.004651163,1,215,0.333333333,1,3
6/1/1998,0.004504505,1,222,0.00456621,1,219,0,0,3
9/1/1998,0.004545455,1,220,0.00462963,1,216,0,0,4
12/1/1998,0.00456621,1,219,0.004651163,1,215,0,0,4
3/1/1999,0.004608295,1,217,0,0,211,0.166666667,1,6
6/1/1999,0.013888889,3,216,0.004739336,1,211,0.4,2,5
9/1/1999,0.013824885,3,217,0.004761905,1,210,0.285714286,2,7
12/1/1999,0.018604651,4,215,0.004854369,1,206,0.333333333,3,9
3/1/2000,0.023474178,5,213,0.014563107,3,206,0.285714286,2,7
6/1/2000,0.014150943,3,212,0.014423077,3,208,0,0,4
9/1/2000,0.019512195,4,205,0.014925373,3,201,0.25,1,4
12/1/2000,0.015463918,3,194,0.005319149,1,188,0.333333333,2,6
3/1/2001,0.005235602,1,191,0.005347594,1,187,0,0,4
6/1/2001,0.005494505,1,182,0.005586592,1,179,0,0,3
9/1/2001,0.005376344,1,186,0.005464481,1,183,0,0,3
12/1/2001,0.005405405,1,185,0.005464481,1,183,0,0,2
3/1/2002,0.005524862,1,181,0.005586592,1,179,0,0,2
6/1/2002,0.016216216,3,185,0.011111111,2,180,0.2,1,5
9/1/2002,0.015384615,3,195,0.015789474,3,190,0,0,5
12/1/2002,0.015463918,3,194,0.010582011,2,189,0.2,1,5
3/1/2003,0.015151515,3,198,0.005181347,1,193,0.4,2,5
6/1/2003,0.005050505,1,198,0.005128205,1,195,0,0,3
9/1/2003,0,0,200,0,0,197,0,0,3
12/1/2003,0,0,200,0,0,196,0,0,4
3/1/2004,0,0,202,0,0,196,0,0,6
6/1/2004,0,0,211,0,0,204,0,0,7
9/1/2004,0,0,208,0,0,201,0,0,7
12/1/2004,0.004950495,1,202,0.005102041,1,196,0,0,6
3/1/2005,0.005025126,1,199,0.005181347,1,193,0,0,6
6/1/2005,0.004926108,1,203,0.005102041,1,196,0,0,7
9/1/2005,0.014492754,3,207,0.01,2,200,0.142857143,1,7
12/1/2005,0.009569378,2,209,0.004950495,1,202,0.142857143,1,7
3/1/2006,0.009345794,2,214,0.004830918,1,207,0.142857143,1,7
6/1/2006,0.009302326,2,215,0,0,205,0.2,2,10
9/1/2006,0,0,219,0,0,210,0,0,9
12/1/2006,0,0,220,0,0,208,0,0,12
3/1/2007,0,0,202,0,0,190,0,0,12
6/1/2007,0.009433962,2,212,0.005102041,1,196,0.0625,1,16
9/1/2007,0.009174312,2,218,0.005,1,200,0.055555556,1,18
12/1/2007,0.022522523,5,222,0.019900498,4,201,0.047619048,1,21
3/1/2008,0.031531532,7,222,0.024875622,5,201,0.095238095,2,21
6/1/2008,0.031390135,7,223,0.019704433,4,203,0.15,3,20
9/1/2008,0.063636364,14,220,0.040609137,8,197,0.260869565,6,23
12/1/2008,0.054545455,12,220,0.035714286,7,196,0.208333333,5,24
3/1/2009,0.048034934,11,229,0.03,6,200,0.172413793,5,29
6/1/2009,0.032921811,8,243,0.018691589,4,214,0.137931034,4,29
9/1/2009,0.004255319,1,235,0.004761905,1,210,0,0,25
12/1/2009,0.012875536,3,233,0,0,209,0.125,3,24
3/1/2010,0.012987013,3,231,0,0,208,0.130434783,3,23
6/1/2010,0.012875536,3,233,0,0,206,0.111111111,3,27
9/1/2010,0.013215859,3,227,0,0,199,0.107142857,3,28
12/1/2010,0.00862069,2,232,0.004878049,1,205,0.037037037,1,27
3/1/2011,0.008733624,2,229,0.004901961,1,204,0.04,1,25
6/1/2011,0.012875536,3,233,0.004901961,1,204,0.068965517,2,29
9/1/2011,0.012987013,3,231,0.004950495,1,202,0.068965517,2,29
12/1/2011,0.008583691,2,233,0,0,205,0.071428571,2,28
3/1/2012,0.013215859,3,227,0,0,203,0.125,3,24
6/1/2012,0.009049774,2,221,0,0,200,0.095238095,2,21
9/1/2012,0.008264463,2,242,0,0,222,0.1,2,20
12/1/2012,0.004032258,1,248,0,0,227,0.047619048,1,21
3/1/2013,0,0,253,0,0,232,0,0,21
6/1/2013,0,0,259,0,0,236,0,0,23
9/1/2013,0,0,262,0,0,236,0,0,26
12/1/2013,0,0,266,0,0,239,0,0,27
3/1/2014,0,0,268,0,0,240,0,0,28
6/1/2014,0.003759398,1,266,0,0,235,0.032258065,1,31
9/1/2014,0.003676471,1,272,0,0,237,0.028571429,1,35
12/1/2014,0.003676471,1,272,0,0,239,0.03030303,1,33
3/1/2015,0.007246377,2,276,0,0,243,0.060606061,2,33
6/1/2015,0.010638298,3,282,0,0,250,0.09375,3,32
9/1/2015,0.017921147,5,279,0,0,244,0.142857143,5,35
12/1/2015,0.017482517,5,286,0,0,247,0.128205128,5,39
3/1/2016,0.010714286,3,280,0,0,242,0.078947368,3,38
