period,PD1,D1,Total1,PD2,D2,Total2,PD3,D3,Total3,PD4,D4,Total4
3/1/1990,0.285714286,2,7,0.16666667,1,6,1,1,1,,0,0
6/1/1990,0.285714286,2,7,0.16666667,1,6,1,1,1,,0,0
9/1/1990,0.428571429,3,7,0.33333333,2,6,1,1,1,,0,0
12/1/1990,0.2,1,5,0.2,1,5,,0,0,,0,0
3/1/1991,0.2,1,5,0.33333333,1,3,0,0,2,,0,0
6/1/1991,0.2,1,5,0,0,2,0.33333333,1,3,,0,0
9/1/1991,0,0,4,0,0,2,0,0,2,,0,0
12/1/1991,0,0,8,0,0,7,0,0,1,,0,0
3/1/1992,0,0,10,0,0,8,0,0,2,,0,0
6/1/1992,0,0,10,0,0,8,0,0,2,,0,0
9/1/1992,0,0,13,0,0,11,0,0,2,,0,0
12/1/1992,0,0,14,0,0,12,0,0,2,,0,0
3/1/1993,0.076923077,1,13,0,0,12,1,1,1,,0,0
6/1/1993,0.052631579,1,19,0,0,18,1,1,1,,0,0
9/1/1993,0.04,1,25,0,0,22,0.33333333,1,3,,0,0
12/1/1993,0.034482759,1,29,0,0,26,0.33333333,1,3,,0,0
3/1/1994,0,0,30,0,0,28,0,0,2,,0,0
6/1/1994,0,0,34,0,0,33,0,0,1,,0,0
9/1/1994,0,0,40,0,0,39,0,0,1,,0,0
12/1/1994,0.024390244,1,41,0.025,1,40,0,0,1,,0,0
3/1/1995,0.000212765,1,47,0.02272727,1,44,0,0,3,,0,0
6/1/1995,0.021276596,1,47,0.02272727,1,44,0,0,3,,0,0
9/1/1995,0.020833333,1,48,0.02222222,1,45,0,0,3,,0,0
12/1/1995,0,0,56,0,0,51,0,0,5,,0,0
3/1/1996,0,0,64,0,0,60,0,0,4,,0,0
6/1/1996,0,0,72,0,0,66,0,0,6,,0,0
9/1/1996,0.012658228,1,79,0,0,71,0.125,1,8,,0,0
12/1/1996,0.011363636,1,88,0,0,80,0.125,1,8,,0,0
3/1/1997,0.010752688,1,93,0,0,84,0.11111111,1,9,,0,0
6/1/1997,0.01010101,1,99,0,0,89,0,0,9,1,1,1
9/1/1997,0,0,105,0,0,95,0,0,10,,0,0
12/1/1997,0.016393443,2,122,0.01886792,2,106,0,0,16,,0,0
3/1/1998,0.023076923,3,130,0.01869159,2,107,0.04347826,1,23,,0,0
6/1/1998,0.026666667,4,150,0.01652893,2,121,0.06896552,2,29,,0,0
9/1/1998,0.030120482,5,166,0.01481481,2,135,0.09677419,3,31,,0,0
12/1/1998,0.011494253,2,174,0,0,141,0.06060606,2,33,,0,0
3/1/1999,0.016666667,3,180,0,0,145,0.08571429,3,35,,0,0
6/1/1999,0.021164021,4,189,0.01315789,2,152,0.05405405,2,37,,0,0
9/1/1999,0.014423077,3,208,0.00598802,1,167,0.04878049,2,41,,0,0
12/1/1999,0.025974026,6,231,0.00543478,1,184,0.10869565,5,46,0,0,1
3/1/2000,0.034042553,8,235,0.01081081,2,185,0.12244898,6,49,0,0,1
6/1/2000,0.032921811,8,243,0.00512821,1,195,0.14893617,7,47,0,0,1
9/1/2000,0.06097561,15,246,0.01025641,2,195,0.24,12,50,1,1,1
12/1/2000,0.06504065,16,246,0.01515152,3,198,0.25531915,12,47,1,1,1
3/1/2001,0.072580645,18,248,0.025,5,200,0.27659574,13,47,0,0,1
6/1/2001,0.115537849,29,251,0.06280193,13,207,0.325,13,40,0.75,3,4
9/1/2001,0.116935484,29,248,0.04455446,9,202,0.3902439,16,41,0.8,4,5
12/1/2001,0.116,29,250,0.04368932,9,206,0.37142857,13,35,0.77777778,7,9
3/1/2002,0.109756098,27,246,0.02898551,6,207,0.4,10,25,0.78571429,11,14
6/1/2002,0.073469388,18,245,0.00966184,2,207,0.26923077,7,26,0.75,9,12
9/1/2002,0.063291139,15,237,0.01470588,3,204,0.24,6,25,0.75,6,8
12/1/2002,0.047619048,11,231,0.00507614,1,197,0.2,5,25,0.55555556,5,9
3/1/2003,0.038297872,9,235,0.00492611,1,203,0.15384615,4,26,0.66666667,4,6
6/1/2003,0.021186441,5,236,0,0,211,0.14285714,3,21,0.5,2,4
9/1/2003,0.0041841,1,239,0,0,219,0.05263158,1,19,0,0,1
12/1/2003,0.008163265,2,245,0.00434783,1,230,0.07142857,1,14,0,0,1
3/1/2004,0.008196721,2,244,0.00440529,1,227,0.05882353,1,17,,0,0
6/1/2004,0.008064516,2,248,0.00440529,1,227,0.05,1,20,0,0,1
9/1/2004,0.008097166,2,247,0.0044843,1,223,0.04347826,1,23,0,0,1
12/1/2004,0.004,1,250,0,0,225,0.04166667,1,24,0,0,1
3/1/2005,0,0,253,0,0,224,0,0,28,0,0,1
6/1/2005,0,0,259,0,0,221,0,0,37,0,0,1
9/1/2005,0,0,244,0,0,210,0,0,34,,0,0
12/1/2005,0.012244898,3,245,0,0,208,0.08108108,3,37,,0,0
3/1/2006,0.011627907,3,258,0,0,222,0.08333333,3,36,,0,0
6/1/2006,0.011952191,3,251,0,0,217,0.06060606,2,33,1,1,1
9/1/2006,0.01984127,5,252,0,0,216,0.11428571,4,35,1,1,1
12/1/2006,0.007633588,2,262,0,0,228,0.05882353,2,34,,0,0
3/1/2007,0.007407407,2,270,0,0,228,0.02439024,1,41,1,1,1
6/1/2007,0.007067138,2,283,0,0,236,0.02173913,1,46,1,1,1
9/1/2007,0.003521127,1,284,0,0,235,0.02083333,1,48,0,0,1
12/1/2007,0.017182131,5,291,0.00840336,2,238,0.05660377,3,53,,0,0
3/1/2008,0.038461538,11,286,0.01304348,3,230,0.14545455,8,55,0,0,1
6/1/2008,0.067615658,19,281,0.02314815,5,216,0.21875,14,64,0,0,1
9/1/2008,0.071684588,20,279,0.02293578,5,218,0.25,15,60,0,0,1
12/1/2008,0.073800738,20,271,0.02369668,5,211,0.23214286,13,56,0.5,2,4
3/1/2009,0.043307087,11,254,0.015,3,200,0.12,6,50,0.5,2,4
6/1/2009,0.032388664,8,247,0.01005025,2,199,0.09090909,4,44,0.5,2,4
9/1/2009,0.02811245,7,249,0.0049505,1,202,0.07317073,3,41,0.5,3,6
12/1/2009,0.016194332,4,247,0,0,197,0.02222222,1,45,0.6,3,5
3/1/2010,0.012244898,3,245,0,0,194,0.0212766,1,47,0.5,2,4
6/1/2010,0.008,2,250,0,0,201,0.02173913,1,46,0.33333333,1,3
9/1/2010,0.003816794,1,262,0,0,214,0,0,46,0.5,1,2
12/1/2010,0,0,273,0,0,228,0,0,44,0,0,1
3/1/2011,0,0,284,0,0,232,0,0,51,0,0,1
6/1/2011,0.009966777,3,301,0,0,243,0.03571429,2,56,0.5,1,2
9/1/2011,0.012903226,4,310,0,0,250,0.05172414,3,58,0.5,1,2
12/1/2011,0.012618297,4,317,0,0,256,0.05084746,3,59,0.5,1,2
3/1/2012,0.012012012,4,333,0,0,268,0.01639344,1,61,0.75,3,4
6/1/2012,0.011461318,4,349,0,0,277,0.04285714,3,70,0.5,1,2
9/1/2012,0.016393443,6,366,0,0,291,0.08108108,6,74,0,0,1
12/1/2012,0.018229167,7,384,0.00328947,1,304,0.06410256,5,78,0.5,1,2
3/1/2013,0.019417476,8,412,0,0,323,0.06896552,6,87,1,2,2
6/1/2013,0.014354067,6,418,0,0,329,0.04597701,4,87,1,2,2
9/1/2013,0.009280742,4,431,0,0,334,0.0212766,2,94,0.66666667,2,3
12/1/2013,0.017582418,8,455,0.0028169,1,355,0.05208333,5,96,0.5,2,4
3/1/2014,0.016949153,8,472,0,0,359,0.07272727,8,110,0,0,3
6/1/2014,0.021231423,10,471,0,0,362,0.07619048,8,105,0.5,2,4
9/1/2014,0.020408163,10,490,0,0,363,0.06504065,8,123,0.5,2,4
12/1/2014,0.013972056,7,501,0.0026738,1,374,0.02459016,3,122,0.6,3,5
3/1/2015,0.011695906,6,513,0.00268097,1,373,0.02222222,3,135,0.4,2,5
6/1/2015,0.011257036,6,533,0.00257069,1,389,0.03546099,5,141,0,0,3
9/1/2015,0.018382353,10,544,0.00753769,3,398,0.04929577,7,142,0,0,4
12/1/2015,0.016917293,9,532,0.00506329,2,395,0.04545455,6,132,0.2,1,5
3/1/2016,0.01509434,8,530,0,0,393,0.05263158,7,133,0.25,1,4
