period,PD1,D1,Total1,PD2,D2,Total2,PD3,D3,Total3,PD4,D4,Total4
3/1/1990,0.075,42,560,0.04633205,24,518,0.42857143,18,42,,0,0
6/1/1990,0.078754579,43,546,0.04581673,23,502,0.45454545,20,44,,0,0
9/1/1990,0.07456979,39,523,0.041841,20,478,0.42222222,19,45,,0,0
12/1/1990,0.067460317,34,504,0.0349345,16,458,0.39130435,18,46,,0,0
3/1/1991,0.044897959,22,490,0.02444444,11,450,0.275,11,40,,0,0
6/1/1991,0.030864198,15,486,0.015625,7,448,0.21052632,8,38,,0,0
9/1/1991,0.027139875,13,479,0.01363636,6,440,0.17948718,7,39,,0,0
12/1/1991,0.030368764,14,461,0.01408451,6,426,0.22857143,8,35,,0,0
3/1/1992,0.024122807,11,456,0.007109,3,422,0.23529412,8,34,,0,0
6/1/1992,0.021551724,10,464,0.00928074,4,431,0.18181818,6,33,,0,0
9/1/1992,0.021551724,10,464,0.00694444,3,432,0.21875,7,32,,0,0
12/1/1992,0.011160714,5,448,0.0070922,3,423,0.08,2,25,,0,0
3/1/1993,0.013186813,6,455,0.00705882,3,425,0.1,3,30,,0,0
6/1/1993,0.010729614,5,466,0.00231481,1,432,0.12121212,4,33,0,0,1
9/1/1993,0.010245902,5,488,0.00223714,1,447,0.10526316,4,38,0,0,3
12/1/1993,0.017307692,9,520,0.01046025,5,478,0.10526316,4,38,0,0,4
3/1/1994,0.011385199,6,527,0.01030928,5,485,0.02631579,1,38,0,0,4
6/1/1994,0.018621974,10,537,0.01431493,7,489,0.06818182,3,44,0,0,4
9/1/1994,0.018587361,10,538,0.01829268,9,492,0,0,42,0.25,1,4
12/1/1994,0.022304833,12,538,0.0204918,10,488,0,0,44,0.33333333,2,6
3/1/1995,0.025547445,14,548,0.02020202,10,495,0.0625,3,48,0.2,1,5
6/1/1995,0.019891501,11,553,0.01422764,7,492,0.05454545,3,55,0.16666667,1,6
9/1/1995,0.012433393,7,563,0.00609756,3,492,0.06060606,4,66,0,0,5
12/1/1995,0.013864818,8,577,0.00594059,3,505,0.07352941,5,68,0,0,4
3/1/1996,0.01512605,9,595,0.00191205,1,523,0.10294118,7,68,0.25,1,4
6/1/1996,0.016556291,10,604,0.00378788,2,528,0.09722222,7,72,0.25,1,4
9/1/1996,0.024350649,15,616,0.00744879,4,537,0.13333333,10,75,0.25,1,4
12/1/1996,0.028616852,18,629,0.00369686,2,541,0.12820513,10,78,0.6,6,10
3/1/1997,0.029827316,19,637,0.00550459,3,545,0.13953488,12,86,0.66666667,4,6
6/1/1997,0.028700906,19,662,0.00529101,3,567,0.13483146,12,89,0.66666667,4,6
9/1/1997,0.02467344,17,689,0.00671141,4,596,0.12222222,11,90,0.66666667,2,3
12/1/1997,0.020920502,15,717,0.0096463,6,622,0.08602151,8,93,0.5,1,2
3/1/1998,0.028150134,21,746,0.01531394,10,653,0.12087912,11,91,0,0,2
6/1/1998,0.032451923,27,832,0.01694915,12,708,0.11570248,14,121,0.33333333,1,3
9/1/1998,0.036384977,31,852,0.01815642,13,716,0.12030075,16,133,0.66666667,2,3
12/1/1998,0.044083527,38,862,0.02503477,18,719,0.11678832,16,137,0.66666667,4,6
3/1/1999,0.044392523,38,856,0.02916667,21,720,0.11940299,16,134,0.5,1,2
6/1/1999,0.055427252,48,866,0.0362117,26,718,0.13103448,19,145,1,3,3
9/1/1999,0.060571429,53,875,0.0362622,26,717,0.16233766,25,154,0.5,2,4
12/1/1999,0.065759637,58,882,0.0280112,20,714,0.2208589,36,163,0.4,2,5
3/1/2000,0.06979405,61,874,0.02824859,20,708,0.23125,37,160,0.66666667,4,6
6/1/2000,0.075117371,64,852,0.02741703,19,693,0.27272727,42,154,0.6,3,5
9/1/2000,0.077953715,64,821,0.02409639,16,664,0.28476821,43,151,0.83333333,5,6
12/1/2000,0.078431373,64,816,0.02710843,18,664,0.29530201,44,149,0.66666667,2,3
3/1/2001,0.078085642,62,794,0.03405573,22,646,0.25174825,36,143,0.8,4,5
6/1/2001,0.072072072,56,777,0.03286385,21,639,0.22900763,30,131,0.71428571,5,7
9/1/2001,0.069677419,54,775,0.0296875,19,640,0.2421875,31,128,0.57142857,4,7
12/1/2001,0.055916775,43,769,0.02021773,13,643,0.18584071,21,113,0.69230769,9,13
3/1/2002,0.05026455,38,756,0.01419558,9,634,0.19266055,21,109,0.61538462,8,13
6/1/2002,0.050734312,38,749,0.01889764,12,635,0.2038835,21,103,0.45454545,5,11
9/1/2002,0.042062415,31,737,0.00483871,3,620,0.21698113,23,106,0.45454545,5,11
