period,PD1,D1,Total1,PD2,D2,Total2,PD3,D3,Total3
3/1/1990,0,0,1,0,0,1,,0,0
6/1/1990,0,0,1,0,0,1,,0,0
9/1/1990,0,0,1,0,0,1,,0,0
12/1/1990,0,0,1,0,0,1,,0,0
3/1/1991,0,0,1,0,0,1,,0,0
6/1/1991,0,0,1,0,0,1,,0,0
9/1/1991,0,0,1,0,0,1,,0,0
12/1/1991,0,0,1,0,0,1,,0,0
3/1/1992,0,0,1,0,0,1,,0,0
6/1/1992,0,0,2,0,0,2,,0,0
9/1/1992,0,0,2,0,0,2,,0,0
12/1/1992,0,0,3,0,0,3,,0,0
3/1/1993,0,0,3,0,0,3,,0,0
6/1/1993,0,0,4,0,0,4,,0,0
9/1/1993,0,0,4,0,0,4,,0,0
12/1/1993,0,0,5,0,0,5,,0,0
3/1/1994,0,0,7,0,0,6,0,0,1
6/1/1994,0,0,8,0,0,7,0,0,1
9/1/1994,0,0,9,0,0,8,0,0,1
12/1/1994,0,0,8,0,0,7,0,0,1
3/1/1995,0,0,7,0,0,7,,0,0
6/1/1995,0,0,7,0,0,7,,0,0
9/1/1995,0,0,9,0,0,9,,0,0
12/1/1995,0,0,9,0,0,9,,0,0
3/1/1996,0,0,9,0,0,9,,0,0
6/1/1996,0,0,10,0,0,10,,0,0
9/1/1996,0,0,12,0,0,12,,0,0
12/1/1996,0,0,13,0,0,12,0,0,1
3/1/1997,0,0,14,0,0,13,0,0,1
6/1/1997,0,0,15,0,0,14,0,0,1
9/1/1997,0,0,17,0,0,16,0,0,1
12/1/1997,0.05,1,20,0.055555556,1,18,0,0,2
3/1/1998,0.052631579,1,19,0.058823529,1,17,0,0,2
6/1/1998,0.090909091,2,22,0.055555556,1,18,0.25,1,4
9/1/1998,0.083333333,2,24,0,0,19,0.4,2,5
12/1/1998,0.043478261,1,23,0,0,19,0.25,I,4
3/1/1999,0.045454545,1,22,0,0,18,0.25,1,4
6/1/1999,0,0,21,0,0,18,0,0,3
9/1/1999,0,0,21,0,0,18,0,0,3
12/1/1999,0,0,22,0,0,19,0,0,3
3/1/2000,0,0,21,0,0,17,0,0,4
6/1/2000,0,0,22,0,0,17,0,0,5
9/1/2000,0,0,23,0,0,18,0,0,5
12/1/2000,0,0,26,0,0,22,0,0,4
3/1/2001,0,0,25,0,0,21,0,0,4
6/1/2001,0.083333333,2,24,0.047619048,1,21,0.333333333,1,3
9/1/2001,0.115384615,3,26,0,0,17,0.333333333,3,9
12/1/2001,0.130434783,3,23,0,0,15,0.375,3,8
3/1/2002,0.115384615,3,26,0,0,18,0.375,3,8
6/1/2002,0.08,2,25,0,0,18,0.285714286,2,7
9/1/2002,0.038461538,1,26,0,0,20,0.166666667,1,6
12/1/2002,0.037037037,I,27,0,0,20,0.142857143,1,7
3/1/2003,0.035714286,1,28,0,0,22,0.166666667,1,6
6/1/2003,0.033333333,1,30,0.043478261,1,23,0,0,7
9/1/2003,0.03125,1,32,0,0,22,0.1,1,10
12/1/2003,0.029411765,1,34,0,0,26,0.125,1,8
3/1/2004,0.029411765,1,34,0,0,26,0.125,1,8
6/1/2004,0,0,33,0,0,26,0,0,7
9/1/2004,0,0,30,0,0,22,0,0,8
12/1/2004,0,0,32,0,0,22,0,0,10
3/1/2005,0,0,29,0,0,20,0,0,9
6/1/2005,0,0,28,0,0,20,0,0,8
9/1/2005,0,0,28,0,0,20,0,0,8
12/1/2005,0,0,27,0,0,20,0,0,7
3/1/2006,0,0,28,0,0,21,0,0,7
6/1/2006,0,0,34,0,0,26,0,0,8
9/1/2006,0,0,31,0,0,24,0,0,7
12/1/2006,0,0,32,0,0,24,0,0,8
3/1/2007,0,0,35,0,0,26,0,0,9
6/1/2007,0,0,37,0,0,29,0,0,8
9/1/2007,0.026315789,1,38,0.033333333,1,30,0,0,8
12/1/2007,0.025641026,1,39,0.034482759,1,29,0,0,10
3/1/2008,0.025641026,1,39,0.034482759,1,29,0,0,10
6/1/2008,0.026315789,1,38,0.035714286,1,28,0,0,10
9/1/2008,0,0,37,0,0,27,0,0,10
12/1/2008,0.027027027,1,37,0.04,1,25,0,0,12
3/1/2009,0.027777778,1,36,0.05,1,20,0,0,16
6/1/2009,0.027777778,1,36,0,0,19,0.058823529,1,17
9/1/2009,0.081081081,3,37,0,0,19,0.166666667,3,18
12/1/2009,0.114285714,4,35,0,0,19,0.25,4,16
3/1/2010,0.111111111,4,36,0,0,17,0.210526316,4,19
6/1/2010,0.131578947,5,38,0,0,18,0.25,5,20
9/1/2010,0.114285714,4,35,0,0,17,0.222222222,4,18
12/1/2010,0.054054054,2,37,0,0,19,0.111111111,2,18
3/1/2011,0.105263158,4,38,0.105263158,2,19,0.105263158,2,19
6/1/2011,0.114285714,4,35,0.111111111,2,18,0.117647059,2,17
9/1/2011,0.090909091,3,33,0.117647059,2,17,0.0625,1,16
12/1/2011,0.083333333,3,36,0,0,17,0.157894737,3,19
3/1/2012,0.026315789,1,38,0,0,16,0.045454545,1,22
6/1/2012,0,0,39,0,0,20,0,0,19
9/1/2012,0,0,38,0,0,20,0,0,18
12/1/2012,0.081081081,3,37,0.052631579,1,19,0.111111111,2,18
3/1/2013,0.075,3,40,0.047619048,1,21,0.105263158,2,19
6/1/2013,0.071428571,3,42,0,0,19,0.130434783,3,23
9/1/2013,0.068181818,3,44,0,0,21,0.130434783,3,23
12/1/2013,0,0,47,0,0,23,0,0,24
3/1/2014,0.02,1,50,0,0,23,0.037037037,1,27
6/1/2014,0.018867925,1,53,0,0,23,0.033333333,1,30
9/1/2014,0.066666667,4,60,0,0,22,0.105263158,4,38
12/1/2014,0.092307692,6,65,0,0,26,0.153846154,6,39
3/1/2015,0.082191781,6,73,0.03125,1,32,0.12195122,5,41
6/1/2015,0.105263158,8,76,0.032258065,1,31,0.155555556,7,45
9/1/2015,0.08,6,75,0.032258065,1,31,0.113636364,5,44
12/1/2015,0.078947368,6,76,0,0,31,0.133333333,6,45
3/1/2016,0.08974359,7,78,0.037037037,1,27,0.117647059,6,51
