period,PD1,D1,Total1,PD2,D2,Total2,PD3,D3,Total3
3/1/1990,0.00,0.00,2.00,0.00,0.00,2.00,,0.00,0.00
6/1/1990,0.00,0.00,2.00,0.00,0.00,2.00,,0.00,0.00
9/1/1990,0.00,0.00,3.00,0.00,0.00,3.00,,0.00,0.00
12/1/1990,0.00,0.00,3.00,0.00,0.00,3.00,,0.00,0.00
3/1/1991,0.00,0.00,4.00,0.00,0.00,4.00,,0.00,0.00
6/1/1991,0.00,0.00,4.00,0.00,0.00,4.00,,0.00,0.00
9/1/1991,0.00,0.00,5.00,0.00,0.00,5.00,,0.00,0.00
12/1/1991,0.00,0.00,6.00,0.00,0.00,5.00,0.00,0.00,1.00
3/1/1992,0.00,0.00,6.00,0.00,0.00,5.00,0.00,0.00,1.00
6/1/1992,0.00,0.00,8.00,0.00,0.00,7.00,0.00,0.00,1.00
9/1/1992,0.00,0.00,8.00,0.00,0.00,8.00,,0.00,0.00
12/1/1992,0.00,0.00,8.00,0.00,0.00,8.00,,0.00,0.00
3/1/1993,0.00,0.00,9.00,0.00,0.00,9.00,,0.00,0.00
6/1/1993,0.00,0.00,11.00,0.00,0.00,11.00,,0.00,0.00
9/1/1993,0.00,0.00,13.00,0.00,0.00,13.00,,0.00,0.00
12/1/1993,0.00,0.00,15.00,0.00,0.00,15.00,,0.00,0.00
3/1/1994,0.00,0.00,15.00,0.00,0.00,15.00,,0.00,0.00
6/1/1994,0.00,0.00,18.00,0.00,0.00,17.00,0.00,0.00,1.00
9/1/1994,0.00,0.00,18.00,0.00,0.00,17.00,0.00,0.00,1.00
12/1/1994,0.00,0.00,20.00,0.00,0.00,19.00,0.00,0.00,1.00
3/1/1995,0.00,0.00,21.00,0.00,0.00,20.00,0.00,0.00,1.00
6/1/1995,0.00,0.00,23.00,0.00,0.00,22.00,0.00,0.00,1.00
9/1/1995,0.00,0.00,23.00,0.00,0.00,22.00,0.00,0.00,1.00
12/1/1995,0.00,0.00,23.00,0.00,0.00,22.00,0.00,0.00,1.00
3/1/1996,0.00,0.00,22.00,0.00,0.00,21.00,0.00,0.00,1.00
6/1/1996,0.00,0.00,23.00,0.00,0.00,22.00,0.00,0.00,1.00
9/1/1996,0.00,0.00,26.00,0.00,0.00,25.00,0.00,0.00,1.00
12/1/1996,0.00,0.00,29.00,0.00,0.00,27.00,0.00,0.00,2.00
3/1/1997,0.00,0.00,34.00,0.00,0.00,32.00,0.00,0.00,2.00
6/1/1997,0.00,0.00,37.00,0.00,0.00,35.00,0.00,0.00,2.00
9/1/1997,0.05,2.00,42.00,0.05,2.00,40.00,0.00,0.00,2.00
12/1/1997,0.13,6.00,47.00,0.13,6.00,45.00,0.00,0.00,2.00
3/1/1998,0.16,8.00,50.00,0.17,8.00,48.00,0.00,0.00,2.00
