Group.1,EAD,Bal,ALLL,FAS114_Reserve,OrigRR,LGD,RemMat,EIR,Commit_Ind,Rating,FAS114_ind,Segment,Product,Amort_Type,IFRS9_Ind,Revol_Ind,Fee_Ind,LOB,CurRR,Prepayment
1,1000000,1000000,404616.3605,0,15,0.77,20,0.023480947,0,1,0,NCy_US,C&I,Level,0,0,0,CIB,1,0
2,1000000,1000000,110731.0194,0,16,0.26,20,0.054415376,0,1,0,Fin_US,C&I,StraightLine,0,1,0,CIB,1,0
3,1000000,1000000,2054251.372,0,13,0.76,20,0.025589126,1,1,0,Cyc_US_2clst,C&I,StraightLine,0,1,0,CB,1,0
4,1000000,1000000,41327220.8,0,16,0.74,20,0,1,1,0,Fin_US,C&I,StraightLine,0,0,0,CB,1,0
5,1000000,1000000,3832374.683,0,16,0.52,20,0,0,1,0,Fin_US,C&I,StraightLine,0,0,0,CIB,1,0
6,1000000,1000000,8734975.746,0,13,0.08,20,0.049023164,0,1,0,Fin_US,C&I,StraightLine,0,1,0,AM,1,0
7,1000000,1000000,57508.61675,0,11,0.55,20,0.014942789,0,1,0,Oil_US,C&I,StraightLine,0,1,0,AM,1,0
8,1000000,1000000,191601.7923,0,13,0.53,20,0.003025384,1,1,0,Cyc_US_2clst,C&I,StraightLine,0,1,0,CB,1,0
9,1000000,1000000,551705.2129,0,14,0.51,20,0.033990449,0,1,0,Cyc_US_2clst,C&I,StraightLine,0,0,1,AM,1,0
10,1000000,1000000,17151881.07,0,15,0.52,20,0.063147776,0,1,0,NCy_US,C&I,StraightLine,0,1,0,AM,1,0
11,1000000,1000000,13193530.25,0,13,0.59,20,0.010300597,0,1,0,Oil_US,C&I,StraightLine,0,0,0,AM,1,0
12,1000000,1000000,1333921.763,0,19,0.52,20,0.029027022,1,1,0,Cyc_US_2clst,C&I,StraightLine,0,0,0,CIB,1,0
13,1000000,1000000,462197.5841,0,17,0.21,20,0,0,1,0,Cyc_US_2clst,C&I,StraightLine,0,1,0,AM,1,0
14,1000000,1000000,42554482.31,0,3,0.11,20,0.022532021,1,1,0,Fin_US,C&I,StraightLine,0,0,1,CIB,1,0
15,1000000,1000000,-9721635.34,0,17,0.68,20,0.022190549,0,1,0,Cyc_US_2clst,C&I,StraightLine,0,0,1,CIB,1,0
16,1000000,1000000,4592299.186,0,20,0.46,20,0,0,1,0,Cyc_US_2clst,C&I,StraightLine,0,0,0,CIB,1,0
17,1000000,1000000,17599046.45,0,14,0.45,20,0.067850003,0,1,0,Fin_US,C&I,StraightLine,0,1,0,CIB,1,0
18,1000000,1000000,10380269.87,0,14,0.64,20,0.011474703,1,1,0,Oil_US,C&I,StraightLine,0,1,0,AM,1,0
19,1000000,1000000,6569.904883,0,14,0.44,20,0.030835214,1,1,0,Cyc_US_2clst,C&I,StraightLine,0,0,0,CIB,1,0
20,1000000,1000000,7756424.706,0,8,0.71,20,0,0,1,0,Oil_US,C&I,StraightLine,0,1,0,CB,1,0
21,1000000,1000000,8759006.732,0,11,0.21,20,0,0,1,0,Cyc_US_2clst,C&I,StraightLine,0,0,1,CIB,1,0
22,1000000,1000000,3462929.76,0,17,0.29,20,0.015009326,0,1,0,Oil_US,C&I,StraightLine,0,0,0,CIB,1,0
23,1000000,1000000,4484443.8,0,14,0.72,20,0.034073272,1,1,0,Cyc_US_2clst,C&I,StraightLine,0,0,0,AM,1,0
24,1000000,1000000,8945352.715,0,19,0.51,20,0.022166419,0,1,0,Cyc_US_2clst,C&I,StraightLine,0,1,1,CB,1,0
25,1000000,1000000,15119988.3,0,14,0.65,20,0.006875413,0,1,0,Oil_US,C&I,StraightLine,0,0,0,AM,1,0
26,1000000,1000000,-1334803.404,0,17,0.67,20,0.031071886,1,1,0,Cyc_US_2clst,C&I,StraightLine,0,1,0,AM,1,0
27,1000000,1000000,5623138.094,0,11,0.06,20,0.031906571,0,1,0,Fin_US,C&I,StraightLine,0,0,0,CB,1,0
28,1000000,1000000,1932752.338,0,8,0.73,20,0.015637058,0,1,0,Fin_US,C&I,StraightLine,0,1,1,CIB,1,0
29,1000000,1000000,502384.0817,0,15,0.68,20,0.029776734,0,1,0,Fin_US,C&I,StraightLine,0,0,0,AM,1,0
30,1000000,1000000,1026405.199,0,14,0.70,20,0.042042012,0,1,0,Cyc_US_2clst,C&I,StraightLine,0,0,0,CB,1,0
31,1000000,1000000,15678.27851,0,15,0.77,20,0,1,1,0,Cyc_US_2clst,C&I,StraightLine,0,1,1,CIB,1,0
32,1000000,1000000,25643661.41,0,16,0.14,20,0,0,1,0,NCy_US,C&I,StraightLine,0,0,0,CB,1,0
33,1000000,1000000,23980989.72,0,10,0.60,20,0.006762309,0,1,0,Oil_US,C&I,StraightLine,0,0,0,CB,1,0
34,1000000,1000000,66849.72336,0,9,0.07,20,0.036521755,0,1,0,Cyc_US_2clst,C&I,StraightLine,0,1,0,AM,1,0
35,1000000,1000000,64673.45197,0,6,0.07,20,0.014419246,0,1,0,Fin_US,C&I,StraightLine,0,1,1,AM,1,0
36,1000000,1000000,1229006.353,0,8,0.38,20,0.027586733,1,1,0,NCy_US,C&I,StraightLine,0,1,0,CIB,1,0
37,1000000,1000000,3365.787572,0,13,0.79,20,0.049457603,0,1,0,Oil_US,C&I,StraightLine,0,1,0,CB,1,0
38,1000000,1000000,19045680.27,0,13,0.51,20,0,0,1,0,Cyc_US_2clst,C&I,StraightLine,0,1,0,CIB,1,0
39,1000000,1000000,16543689.27,0,8,0.21,20,0.036876143,1,1,0,Cyc_US_2clst,C&I,StraightLine,0,0,0,AM,1,0
40,1000000,1000000,5391717.819,0,14,0.71,20,0.00342888,0,1,0,Oil_US,C&I,StraightLine,0,0,0,CB,1,0
41,1000000,1000000,975974.7559,0,12,0.26,20,0.032273215,0,2,0,Fin_US,C&I,StraightLine,0,1,0,AM,2,0
42,1000000,1000000,2018373.836,0,14,0.57,20,0,0,2,0,Oil_US,C&I,StraightLine,0,1,0,AM,2,0
43,1000000,1000000,391942.6057,0,13,0.26,20,0.016227262,0,2,0,Cyc_US_2clst,C&I,StraightLine,0,1,0,AM,2,0
44,1000000,1000000,16753930.14,0,17,0.35,20,0.018603833,0,2,0,Oil_US,C&I,StraightLine,0,0,0,CIB,2,0
45,1000000,1000000,5560086.268,0,9,0.14,20,0.045907197,0,2,0,Oil_US,C&I,StraightLine,0,1,1,CB,2,0
46,1000000,1000000,4112332.816,0,15,0.65,20,0.019558447,0,2,0,Cyc_US_2clst,C&I,StraightLine,0,1,0,AM,2,0
47,1000000,1000000,474799.8989,0,14,0.68,20,0.046267102,0,2,0,Oil_US,C&I,StraightLine,0,0,0,AM,2,0
48,1000000,1000000,40430.98761,0,12,0.21,20,0,0,2,0,Cyc_US_2clst,C&I,StraightLine,0,0,0,CB,2,0
49,1000000,1000000,60213.25842,0,15,0.61,20,0.012274583,0,2,0,Oil_US,C&I,StraightLine,0,1,0,CB,2,0
50,1000000,1000000,1320578.685,0,13,0.30,20,0.025198927,0,2,0,Cyc_US_2clst,C&I,StraightLine,0,1,0,AM,2,0
51,1000000,1000000,576322.6385,0,15,0.71,20,0.007140486,0,2,0,Cyc_US_2clst,C&I,StraightLine,0,0,0,AM,2,0
52,1000000,1000000,2956035.594,0,10,0.61,20,0.0183542,1,2,0,Fin_US,C&I,StraightLine,0,0,0,AM,2,0
53,1000000,1000000,7365837.052,0,10,0.60,20,0.031141623,1,2,0,Oil_US,C&I,StraightLine,0,0,0,CB,2,0
54,1000000,1000000,71365.63818,0,20,0.38,20,0.04382259,0,2,0,Oil_US,C&I,StraightLine,0,1,0,AM,2,0
55,1000000,1000000,17011616.45,0,16,0.46,20,0.012866028,0,2,0,Oil_US,C&I,StraightLine,0,1,0,CIB,2,0
56,1000000,1000000,515060.6701,0,16,0.52,20,0.044658422,0,2,0,Cyc_US_2clst,C&I,StraightLine,0,1,0,CB,2,0
57,1000000,1000000,1974661.294,0,19,0.76,20,0.034226547,0,2,0,Cyc_US_2clst,C&I,StraightLine,0,0,0,CIB,2,0
58,1000000,1000000,4352463.116,0,14,0.19,20,0.013128105,1,2,0,Cyc_US_2clst,C&I,StraightLine,0,1,0,CB,2,0
59,1000000,1000000,44471.70732,0,12,0.74,20,0,1,2,0,Cyc_US_2clst,C&I,StraightLine,0,1,0,AM,2,0
60,1000000,1000000,-391498.2288,0,19,0.71,20,0.037351067,0,2,0,Cyc_US_2clst,C&I,StraightLine,0,1,0,CB,2,0
61,1000000,1000000,6628.754952,0,15,0.33,20,0.032238035,0,2,0,Oil_US,C&I,StraightLine,0,1,1,CIB,2,0
62,1000000,1000000,3074849.038,0,16,0.29,20,0.037194091,0,2,0,NCy_US,C&I,StraightLine,0,1,1,CB,2,0
63,1000000,1000000,8469351.253,0,21,0.21,20,0.042563378,0,2,0,Fin_US,C&I,StraightLine,0,0,0,CB,2,0
64,1000000,1000000,19548997.32,0,16,0.21,20,0.045738623,0,2,0,Cyc_US_2clst,C&I,StraightLine,0,0,0,CB,2,0
65,1000000,1000000,58279.95754,0,14,0.21,20,0.020520986,0,2,0,Fin_US,C&I,StraightLine,0,0,0,CB,2,0
66,1000000,1000000,1591194.73,0,14,0.44,20,0.018064872,0,2,0,Cyc_US_2clst,C&I,StraightLine,0,1,1,AM,2,0
67,1000000,1000000,4038677.202,0,18,0.66,20,0.008912524,0,2,0,Fin_US,C&I,StraightLine,0,0,0,CB,2,0
68,1000000,1000000,2795041.251,0,13,0.15,20,0.037529902,0,2,0,Oil_US,C&I,StraightLine,0,0,0,CIB,2,0
69,1000000,1000000,33366442.39,0,12,0.20,20,0.033789075,0,2,0,Fin_US,C&I,StraightLine,0,0,0,CB,2,0
70,1000000,1000000,248254.0673,0,16,0.14,20,0.056365657,0,2,0,Oil_US,C&I,StraightLine,0,0,1,CB,2,0
71,1000000,1000000,8823274.86,0,13,0.47,20,0.040813445,1,2,0,Oil_US,C&I,StraightLine,0,0,0,CIB,2,0
72,1000000,1000000,164840.5479,0,13,0.45,20,0.086184174,0,2,0,Oil_US,C&I,StraightLine,0,0,0,CIB,2,0
73,1000000,1000000,4749679.559,0,19,0.09,20,0.036554454,0,2,0,NCy_US,C&I,StraightLine,0,1,0,CIB,2,0
74,1000000,1000000,100.9551296,0,10,0.70,20,0.024671369,1,2,0,Fin_US,C&I,StraightLine,0,1,0,CIB,2,0
75,1000000,1000000,144952.4968,0,16,0.44,20,0.001751933,0,2,0,Oil_US,C&I,StraightLine,0,0,1,AM,2,0
76,1000000,1000000,969387.2189,0,12,0.77,20,0.019377857,1,2,0,Fin_US,C&I,StraightLine,0,0,1,AM,2,0
77,1000000,1000000,8917064.356,0,11,0.63,20,0.027821551,0,2,0,Cyc_US_2clst,C&I,StraightLine,0,0,0,CIB,2,0
78,1000000,1000000,16434.81774,0,15,0.79,20,0.030188603,0,2,0,Fin_US,C&I,StraightLine,0,0,0,AM,2,0
79,1000000,1000000,578930.4947,0,13,0.71,20,0.004180519,0,2,0,Fin_US,C&I,StraightLine,0,1,0,CIB,2,0
80,1000000,1000000,383698.3909,0,18,0.43,20,0.022504125,1,2,0,Oil_US,C&I,StraightLine,0,0,0,CIB,2,0
81,1000000,1000000,6905.032058,0,7,0.71,20,0.005988261,1,2,0,NCy_US,C&I,StraightLine,0,0,0,CB,2,0
82,1000000,1000000,990615.9736,0,10,0.19,20,0.040492191,0,2,0,Cyc_US_2clst,C&I,StraightLine,0,1,1,CIB,2,0
83,1000000,1000000,637786.3542,0,21,0.53,20,0,0,2,0,Cyc_US_2clst,C&I,StraightLine,0,1,1,CB,2,0
84,1000000,1000000,677898.2941,0,14,0.31,20,0.025252967,1,2,0,Oil_US,C&I,StraightLine,0,1,1,CIB,2,0
85,1000000,1000000,261745.0944,0,11,0.45,20,0.00857278,0,2,0,Oil_US,C&I,StraightLine,0,1,1,CB,2,0
86,1000000,1000000,6760139.058,0,10,0.28,20,0.034321269,0,2,0,Fin_US,C&I,StraightLine,0,0,0,CIB,2,0
87,1000000,1000000,2029086.645,0,18,0.75,20,0.010618374,0,2,0,NCy_US,C&I,StraightLine,0,1,0,CIB,2,0
88,1000000,1000000,4813648.983,0,14,0.48,20,0.031164893,0,2,0,Oil_US,C&I,StraightLine,0,1,0,AM,2,0
89,1000000,1000000,622354.2835,0,15,0.50,20,0.029521936,1,2,0,Cyc_US_2clst,C&I,StraightLine,0,1,1,CIB,2,0
90,1000000,1000000,318857.3013,0,15,0.32,20,0.016248043,0,2,0,Oil_US,C&I,StraightLine,0,0,0,AM,2,0
91,1000000,1000000,24471.62845,0,17,0.56,20,0.035242855,0,3,0,Fin_US,C&I,StraightLine,0,0,0,AM,3,0
92,1000000,1000000,331357.0503,0,12,0.24,20,0.056228005,0,3,0,Fin_US,C&I,StraightLine,0,1,0,CB,3,0
93,1000000,1000000,258113.4875,0,13,0.68,20,0,1,3,0,Cyc_US_2clst,C&I,StraightLine,0,0,0,CB,3,0
94,1000000,1000000,55515.01289,0,6,0.54,20,0.002537542,0,3,0,Oil_US,C&I,StraightLine,0,1,0,CIB,3,0
95,1000000,1000000,292530.5329,0,14,0.43,20,0.015724145,0,3,0,Oil_US,C&I,StraightLine,0,1,1,AM,3,0
96,1000000,1000000,537731.0725,0,19,0.29,20,0.004269165,0,3,0,NCy_US,C&I,StraightLine,0,0,0,CB,3,0
97,1000000,1000000,2098388.669,0,13,0.70,20,0.024737174,1,3,0,Cyc_US_2clst,C&I,StraightLine,0,0,1,AM,3,0
98,1000000,1000000,467729.9389,0,9,0.49,20,0.03995898,0,3,0,Fin_US,C&I,StraightLine,0,0,0,CIB,3,0
99,1000000,1000000,529114.1205,0,17,0.21,20,0.030534457,1,3,0,Oil_US,C&I,StraightLine,0,1,1,AM,3,0
100,1000000,1000000,7997.133024,0,11,0.32,20,0.046134319,0,3,0,NCy_US,C&I,StraightLine,0,1,0,CB,3,0
101,1000000,1000000,7997.133024,0,11,0.63,20,0.046134319,0,3,0,Fin_US,C&I,StraightLine,0,1,0,CB,3,0
102,1000000,1000000,7997.133024,0,11,0.35,20,0.046134319,0,3,0,Oil_US,C&I,StraightLine,0,1,0,CB,3,0
103,1000000,1000000,7997.133024,0,11,0.15,20,0.046134319,0,3,0,Cyc_US_2clst,C&I,StraightLine,0,1,0,CB,3,0
104,1000000,1000000,7997.133024,0,11,0.42,20,0.046134319,0,3,0,Fin_US,C&I,StraightLine,0,1,0,CB,3,0
105,1000000,1000000,7997.133024,0,11,0.63,20,0.046134319,0,3,0,Oil_US,C&I,StraightLine,0,1,0,CB,3,0
106,1000000,1000000,7997.133024,0,11,0.16,20,0.046134319,0,3,0,Cyc_US_2clst,C&I,StraightLine,0,1,0,CB,3,0
107,1000000,1000000,7997.133024,0,11,0.48,20,0.046134319,0,3,0,Cyc_US_2clst,C&I,StraightLine,0,1,0,CB,3,0
108,1000000,1000000,7997.133024,0,11,0.36,20,0.046134319,0,3,0,Cyc_US_2clst,C&I,StraightLine,0,1,0,CB,3,0
109,1000000,1000000,7997.133024,0,11,0.26,20,0.046134319,0,3,0,Fin_US,C&I,StraightLine,0,1,0,CB,3,0
110,1000000,1000000,7997.133024,0,11,0.73,20,0.046134319,0,3,0,Cyc_US_2clst,C&I,StraightLine,0,1,0,CB,3,0
111,1000000,1000000,7997.133024,0,11,0.22,20,0.046134319,0,3,0,Cyc_US_2clst,C&I,StraightLine,0,1,0,CB,3,0
112,1000000,1000000,7997.133024,0,11,0.10,20,0.046134319,0,3,0,Cyc_US_2clst,C&I,StraightLine,0,1,0,CB,3,0
113,1000000,1000000,7997.133024,0,11,0.12,20,0.046134319,0,3,0,Cyc_US_2clst,C&I,StraightLine,0,1,0,CB,3,0
