Scenario Name,Date,Real GDP growth,Nominal GDP growth,Real disposable income growth,Nominal disposable income growth,Unemployment rate,CPI inflation rate,3-month Treasury rate,5-year Treasury yield,10-year Treasury yield,BBB corporate yield,Mortgage rate,Prime rate,Dow Jones Total Stock Market Index (Level),House Price Index (Level),Commercial Real Estate Price Index (Level),Market Volatility Index (Level),WTI Price,Euro area real GDP growth
Supervisory Adverse,2019 Q1,-1.6,0.2,-3.7,-2.6,4.3,1.3,0.3,0.5,0.9,4.1,3.4,3.3,24068.1,201.4,283.3,44.4,45.41,-2.6
Supervisory Adverse,2019 Q2,-4,-1.9,-4.1,-2.4,5.1,2,0.2,0.7,1,4.6,3.6,3.2,21695,197.7,279.5,43.1,42.41,-3.3
Supervisory Adverse,2019 Q3,-2.8,-0.9,-2.3,-0.6,5.7,1.9,0.1,0.7,1.1,4.8,3.7,3.1,20526.9,194.2,274.5,39.2,40.41,-2.3
Supervisory Adverse,2019 Q4,-1.6,0.4,-1.1,0.7,6.2,2,0.1,0.8,1.2,4.9,3.8,3.1,20044.8,189.6,267,34.9,39.41,-1.6
Supervisory Adverse,2020 Q1,-1,1,-0.6,1.4,6.6,2.2,0.1,0.8,1.3,4.7,3.7,3.1,20200.1,185.4,259.4,30.5,39.21,-0.6
Supervisory Adverse,2020 Q2,0.2,2.4,0.2,1.9,6.8,2,0.1,0.9,1.3,4.6,3.7,3.1,20609,181.3,251.9,27.3,39.88,0.2
Supervisory Adverse,2020 Q3,0.9,3,0.5,2.5,7,2.1,0.1,1,1.3,4.4,3.6,3.1,21023.5,177.5,244.4,25.3,40.74,0.8
Supervisory Adverse,2020 Q4,2.5,4.6,1.5,3.4,7,2.1,0.1,1,1.4,4.3,3.5,3.1,21633.3,175.7,239.3,23.5,42.18,1.3
Supervisory Adverse,2021 Q1,2.9,4.9,2.3,4.3,6.9,2.2,0.1,1.1,1.6,4.3,3.6,3.1,22247.8,175.8,236.8,22.5,44.15,1.6
Supervisory Adverse,2021 Q2,3.1,5.2,1.9,3.9,6.7,2.2,0.1,1.2,1.7,4.2,3.7,3.1,23032.8,177.5,236.8,21.4,46.59,1.7
Supervisory Adverse,2021 Q3,3.3,5.3,1.9,3.9,6.6,2.1,0.1,1.2,1.8,4.1,3.7,3.1,23792.1,179.3,236.9,20.8,48.56,1.7
Supervisory Adverse,2021 Q4,3.4,5.4,1.9,3.8,6.4,2.1,0.1,1.3,1.9,4,3.6,3.1,24621.4,181.7,237.9,20.3,50.29,1.7
Supervisory Adverse,2022 Q1,3.4,5.3,1.8,3.7,6.3,2.1,0.1,1.3,1.9,3.8,3.6,3.1,25537.2,184.2,239.1,20.1,51.85,1.6
